ZAMÓWIENIE NR: ZM_GLASS 0001/10/2025/???;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;Dostawca:;;;;;;;;;;Odbiorca:;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;Telefon: ;;;;;;;;;;;;;;;;;;
;;;Fax: ;;;;;;;;;;Fax: ;;;;;;;;
;;;EMail:;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
33.1 (6,38mm) Float /8Ar Cr Cz/33.1 (6,38mm) Float;;;;;;;;;;;;33.1 (6,38mm) Float /8Ar Cr Cz/33.1 (6,38mm) Float;;;;;;;;Grubość:;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;20,8 mm;
;;;;;;;;;;;;;;;;;;;;;
L.p.;;Wymiary;;;Ilość;Powierzchnia [m2];;;Masa[kg] razem;;Cena;;;;;;Położenie szkła;;;;
;;;;;;;;;;;;;;;;;;;;;
;;Szerokość;;Wysokość;;Pojedyń.;Razem;;;;za m2;;;Za szt;;Razem;;;;;
1;;925 mm;;2341 mm;8; 2,17; 17,33;; 565,22;; 0,00;;; 0,00;; 0,00;478-2025:5:1;;;;
2;;925 mm;;2341 mm;14; 2,17; 30,32;; 989,13;; 0,00;;; 0,00;; 0,00;478-2025:13:1;;;;
3;;925 mm;;2341 mm;6; 2,17; 13,00;; 423,91;; 0,00;;; 0,00;; 0,00;478-2025:16:1;;;;
4;;925 mm;;2341 mm;12; 2,17; 25,99;; 847,83;; 0,00;;; 0,00;; 0,00;478-2025:23:1;;;;
Razem:;;;;;40;; 86,64;;2 826,09;;;;;;; 0,00;Pozycji:;;;;4
;;;;;;;;;;;;;;;;;;;;;
6mm Thermofloat 1,1 hartowany /18Ar Cr Cz/6mm Float /18Ar Cr Cz/44.2 (8,76mm) Thermofloat 1,1  Ug=0,5;;;;;;;;;;;;6mm Thermofloat 1,1 hartowany /18Ar Cr Cz/6mm Float /18Ar Cr Cz/44.2 (8,76mm) Thermofloat 1,1  Ug=0,5;;;;;;;;Grubość:;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;56,8 mm;
;;;;;;;;;;;;;;;;;;;;;
L.p.;;Wymiary;;;Ilość;Powierzchnia [m2];;;Masa[kg] razem;;Cena;;;;;;Położenie szkła;;;;
;;;;;;;;;;;;;;;;;;;;;
;;Szerokość;;Wysokość;;Pojedyń.;Razem;;;;za m2;;;Za szt;;Razem;;;;;
5;;1384 mm;;1338 mm;1; 1,85; 1,85;; 98,16;; 400,00;;; 740,72;; 740,72;478-2025:1:4;;;;
6;;1384 mm;;1313 mm;1; 1,82; 1,82;; 96,32;; 400,00;;; 726,88;; 726,88;478-2025:2:10;;;;
7;;1384 mm;;1338 mm;1; 1,85; 1,85;; 98,16;; 400,00;;; 740,72;; 740,72;478-2025:2:9;;;;
8;;1478 mm;;1288 mm;2; 1,90; 3,81;; 201,82;; 400,00;;; 761,47;;1 522,93;478-2025:2:11;;;;
9;;1478 mm;;1338 mm;2; 1,98; 3,96;; 209,65;; 400,00;;; 791,03;;1 582,05;478-2025:2:7;;;;
10;;1478 mm;;2568 mm;2; 3,80; 7,59;; 402,38;; 400,00;;;1 518,20;;3 036,40;478-2025:2:3;;;;
11;;1478 mm;;2618 mm;2; 3,87; 7,74;; 410,21;; 400,00;;;1 547,76;;3 095,52;478-2025:2:4;;;;
12;;1978 mm;;1288 mm;1; 2,55; 2,55;; 135,04;; 400,00;;;1 019,07;;1 019,07;478-2025:2:12;;;;
13;;1978 mm;;1338 mm;1; 2,65; 2,65;; 140,29;; 400,00;;;1 058,63;;1 058,63;478-2025:2:8;;;;
14;;2049 mm;;1288 mm;1; 2,64; 2,64;; 139,89;; 400,00;;;1 055,64;;1 055,64;478-2025:2:13;;;;
15;;2050 mm;;1338 mm;1; 2,74; 2,74;; 145,39;; 400,00;;;1 097,16;;1 097,16;478-2025:6:6;;;;
16;;1384 mm;;1338 mm;2; 1,85; 3,70;; 196,32;; 400,00;;; 740,72;;1 481,43;478-2025:7:6;;;;
17;;1478 mm;;1338 mm;4; 1,98; 7,91;; 419,30;; 400,00;;; 791,03;;3 164,10;478-2025:7:7;;;;
18;;1478 mm;;2568 mm;4; 3,80; 15,18;; 804,76;; 400,00;;;1 518,20;;6 072,81;478-2025:7:3;;;;
19;;1978 mm;;1338 mm;2; 2,65; 5,29;; 280,57;; 400,00;;;1 058,63;;2 117,25;478-2025:7:8;;;;
20;;2049 mm;;1338 mm;1; 2,74; 2,74;; 145,32;; 400,00;;;1 096,62;;1 096,62;478-2025:7:9;;;;
21;;1366 mm;;1338 mm;1; 1,83; 1,83;; 96,84;; 400,01;;; 730,82;; 730,82;478-2025:8:7;;;;
22;;1384 mm;;1338 mm;1; 1,85; 1,85;; 98,16;; 400,00;;; 740,72;; 740,72;478-2025:8:4;;;;
23;;1478 mm;;1338 mm;4; 1,98; 7,91;; 419,30;; 400,00;;; 791,03;;3 164,10;478-2025:8:5;;;;
24;;1478 mm;;2568 mm;4; 3,80; 15,18;; 804,76;; 400,00;;;1 518,20;;6 072,81;478-2025:8:2;;;;
25;;1978 mm;;1338 mm;2; 2,65; 5,29;; 280,57;; 400,00;;;1 058,63;;2 117,25;478-2025:8:6;;;;
26;;1384 mm;;1338 mm;2; 1,85; 3,70;; 196,32;; 400,00;;; 740,72;;1 481,43;478-2025:9:6;;;;
27;;1478 mm;;1338 mm;4; 1,98; 7,91;; 419,30;; 400,00;;; 791,03;;3 164,10;478-2025:9:4;;;;
28;;1478 mm;;2568 mm;4; 3,80; 15,18;; 804,76;; 400,00;;;1 518,20;;6 072,81;478-2025:9:2;;;;
29;;1978 mm;;1338 mm;2; 2,65; 5,29;; 280,57;; 400,00;;;1 058,63;;2 117,25;478-2025:9:5;;;;
30;;1384 mm;;1338 mm;2; 1,85; 3,70;; 196,32;; 400,00;;; 740,72;;1 481,43;478-2025:10:6;;;;
31;;1455 mm;;1338 mm;1; 1,95; 1,95;; 103,22;; 400,00;;; 778,93;; 778,93;478-2025:10:9;;;;
32;;1455 mm;;2568 mm;1; 3,74; 3,74;; 198,11;; 400,00;;;1 494,99;;1 494,99;478-2025:10:5;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;1 (4);;;;;;;;;;01.10.2025;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
6mm Thermofloat 1,1 hartowany /18Ar Cr Cz/6mm Float /18Ar Cr Cz/44.2 (8,76mm) Thermofloat 1,1  Ug=0,5;;;;;;;;;;;;6mm Thermofloat 1,1 hartowany /18Ar Cr Cz/6mm Float /18Ar Cr Cz/44.2 (8,76mm) Thermofloat 1,1  Ug=0,5;;;;;;;;Grubość:;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;56,8 mm;
;;;;;;;;;;;;;;;;;;;;;
L.p.;;Wymiary;;;Ilość;Powierzchnia [m2];;;Masa[kg] razem;;Cena;;;;;;Położenie szkła;;;;
;;;;;;;;;;;;;;;;;;;;;
;;Szerokość;;Wysokość;;Pojedyń.;Razem;;;;za m2;;;Za szt;;Razem;;;;;
33;;1478 mm;;1338 mm;1; 1,98; 1,98;; 104,83;; 400,00;;; 791,03;; 791,03;478-2025:10:7;;;;
